x,y,T
0.877551,0.285714,0.054625
0.897959,0.285714,0.043729
0.918367,0.285714,0.033791
0.938776,0.285714,0.024639
0.959184,0.285714,0.016087
0.979592,0.285714,0.007941
1.000000,0.285714,0.000000
0.000000,0.306122,1.000000
0.020408,0.306122,0.991593
0.040816,0.306122,0.982988
0.061224,0.306122,0.973993
0.081633,0.306122,0.964420
0.102041,0.306122,0.954090
0.122449,0.306122,0.942839
0.142857,0.306122,0.930515
0.163265,0.306122,0.916987
0.183673,0.306122,0.902141
0.204082,0.306122,0.885886
0.224490,0.306122,0.868154
0.244898,0.306122,0.848901
0.265306,0.306122,0.828107
0.285714,0.306122,0.805780
0.306122,0.306122,0.781950
0.326531,0.306122,0.756674
0.346939,0.306122,0.730032
0.367347,0.306122,0.702126
0.387755,0.306122,0.673079
0.408163,0.306122,0.643033
0.428571,0.306122,0.612147
0.448980,0.306122,0.580592
0.469388,0.306122,0.548552
0.489796,0.306122,0.516217
0.510204,0.306122,0.483783
0.530612,0.306122,0.451448
0.551020,0.306122,0.419408
0.571429,0.306122,0.387853
0.591837,0.306122,0.356967
0.612245,0.306122,0.326921
0.632653,0.306122,0.297874
0.653061,0.306122,0.269968
0.673469,0.306122,0.243326
0.693878,0.306122,0.218050
0.714286,0.306122,0.194220
0.734694,0.306122,0.171893
0.755102,0.306122,0.151099
0.775510,0.306122,0.131846
0.795918,0.306122,0.114114
0.816327,0.306122,0.097859
0.836735,0.306122,0.083013
0.857143,0.306122,0.069485
0.877551,0.306122,0.057161
0.897959,0.306122,0.045910
0.918367,0.306122,0.035580
0.938776,0.306122,0.026007
0.959184,0.306122,0.017012
0.979592,0.306122,0.008407
1.000000,0.306122,0.000000
0.000000,0.326531,1.000000
0.020408,0.326531,0.990929
0.040816,0.326531,0.981673
0.061224,0.326531,0.972047
0.081633,0.326531,0.961874
0.102041,0.326531,0.950988
0.122449,0.326531,0.939230
0.142857,0.326531,0.926460
0.163265,0.326531,0.912552
0.183673,0.326531,0.897398
0.204082,0.326531,0.880914
0.224490,0.326531,0.863034
0.244898,0.326531,0.843716
0.265306,0.326531,0.822944
0.285714,0.326531,0.800723
0.306122,0.326531,0.777082
0.326531,0.326531,0.752075
0.346939,0.326531,0.725778
0.367347,0.326531,0.698286
